Category: All categories,
,
Month,sky sports free: (United Kingdom)
2004-01,5
2004-02,9
2004-03,0
2004-04,0
2004-05,5
2004-06,9
2004-07,5
2004-08,11
2004-09,9
2004-10,9
2004-11,9
2004-12,9
2005-01,8
2005-02,12
2005-03,8
2005-04,10
2005-05,10
2005-06,10
2005-07,17
2005-08,20
2005-09,16
2005-10,12
2005-11,16
2005-12,14
2006-01,17
2006-02,15
2006-03,13
2006-04,15
2006-05,14
2006-06,15
2006-07,15
2006-08,19
2006-09,17
2006-10,16
2006-11,16
2006-12,17
2007-01,22
2007-02,19
2007-03,27
2007-04,20
2007-05,23
2007-06,23
2007-07,21
2007-08,29
2007-09,32
2007-10,23
2007-11,22
2007-12,28
2008-01,27
2008-02,19
2008-03,26
2008-04,26
2008-05,22
2008-06,19
2008-07,24
2008-08,29
2008-09,31
2008-10,20
2008-11,24
2008-12,24
2009-01,33
2009-02,28
2009-03,26
2009-04,31
2009-05,31
2009-06,33
2009-07,32
2009-08,43
2009-09,34
2009-10,24
2009-11,31
2009-12,31
2010-01,38
2010-02,34
2010-03,31
2010-04,35
2010-05,35
2010-06,28
2010-07,26
2010-08,49
2010-09,51
2010-10,33
2010-11,34
2010-12,28
2011-01,59
2011-02,50
2011-03,48
2011-04,46
2011-05,42
2011-06,35
2011-07,52
2011-08,82
2011-09,66
2011-10,39
2011-11,30
2011-12,39
2012-01,48
2012-02,43
2012-03,45
2012-04,56
2012-05,41
2012-06,33
2012-07,43
2012-08,49
2012-09,53
2012-10,39
2012-11,39
2012-12,39
2013-01,46
2013-02,42
2013-03,34
2013-04,36
2013-05,39
2013-06,41
2013-07,41
2013-08,100
2013-09,49
2013-10,34
2013-11,41
2013-12,41
2014-01,44
2014-02,35
2014-03,43
2014-04,49
2014-05,38
2014-06,33
2014-07,32
2014-08,79
2014-09,43
2014-10,33
2014-11,37
2014-12,33
2015-01,42
2015-02,37
2015-03,40
2015-04,38
2015-05,44
2015-06,23
2015-07,29
2015-08,55
2015-09,37
2015-10,31
2015-11,30
2015-12,32
2016-01,30
2016-02,31
2016-03,31
2016-04,37
2016-05,37
2016-06,24
2016-07,25
2016-08,39
2016-09,32
2016-10,30
2016-11,22
2016-12,25
2017-01,27
2017-02,22
2017-03,24
2017-04,43
2017-05,28
2017-06,30
2017-07,27
2017-08,46
2017-09,28
2017-10,26
2017-11,22
2017-12,26
2018-01,23
2018-02,21
2018-03,29
2018-04,27
2018-05,24
2018-06,17
2018-07,18
2018-08,32
2018-09,30
2018-10,19
2018-11,22
2018-12,21
2019-01,16
2019-02,21
2019-03,19
2019-04,21
2019-05,22
2019-06,26
2019-07,17
2019-08,32
2019-09,19
2019-10,14
2019-11,16
2019-12,30
2020-01,17
2020-02,15
2020-03,10
2020-04,5
2020-05,5
2020-06,41
2020-07,21
2020-08,14
2020-09,22
2020-10,20
2020-11,15
2020-12,15
2021-01,14
2021-02,10
2021-03,13
2021-04,13
2021-05,13
2021-06,10
2021-07,12
2021-08,18
2021-09,16
2021-10,15
2021-11,11
2021-12,11
2022-01,13
2022-02,15
2022-03,16
2022-04,18
2022-05,17
2022-06,11
2022-07,14
2022-08,22
2022-09,11
2022-10,15
2022-11,9
2022-12,9
2023-01,14
2023-02,15
2023-03,11
2023-04,13
2023-05,13
2023-06,9
2023-07,11
2023-08,14
2023-09,13
2023-10,14
2023-11,9
2023-12,10
2024-01,12
2024-02,10
2024-03,11
2024-04,11
2024-05,11
2024-06,8
2024-07,9
2024-08,11
2024-09,10
2024-10,8
2024-11,9
2024-12,10
2025-01,10
2025-02,9
2025-03,9
2025-04,12
2025-05,10
2025-06,7
